name,author,narrator,time,releasedate,language,stars,price,ratings
The Sisterhood,Bobbie Houston,Bobbie Houston,489,2016-05-03,English,5.0,500.00,1
Supernatural,Dr.Michael S.Heiser,Gordon Greenhill,231,2015-12-04,English,5.0,501.00,1
A Father Who Keeps His Promises,Scott Hahn,Paul Smith,515,2010-02-19,English,5.0,984.00,6
Life of the Beloved,Henri J.M.Nouwen,Henri J.M.Nouwen,157,2010-02-24,English,5.0,468.00,1
Do Hard Things,"Brett Harris,Alex Harris",Lincoln Hoppe,352,2008-08-29,English,5.0,754.00,1
A Monk in the World,"Wayne Teasdale,Ken Wilber-foreword",James Anderson Foster,463,2019-03-05,English,5.0,586.00,1
Unshakeable Trust,Joyce Meyer,Jodi Carlisle,393,2017-09-12,English,5.0,500.00,3
Holy Bible - The Old Testament,New Revised Standard Version,John Banks,3372,2019-12-03,English,5.0,569.00,1
God and Love on Route 80,"Stephen G.Post,Dr.Larry Dossey-foreword",Scott Overton,437,2021-07-06,English,5.0,469.00,1
The Chosen,"Amanda Jenkins,Kristen Hendricks,Dallas Jenkins","Amanda Jenkins,Dallas Jenkins",165,2020-10-26,English,5.0,233.00,1
The Day Approaching,Amir Tsarfati,Amir Tsarfati,447,2020-03-03,English,3.0,"1,172.00",1
Prayer,A.W.Tozer,Joe Geoffrey,311,2017-01-12,English,5.0,762.00,2
The Bhagavad Gita,Eknath Easwaran,Paul Bazely,534,2014-12-28,English,4.5,300.00,348
Dharma Artha Kama Moksha,Devdutt Pattanaik,Abhishek Sharma,272,2022-01-26,English,5.0,900.00,1
Siva,Ramesh Menon,Avita Jay,844,2017-02-20,English,4.5,402.00,52
Essence of the Upanishads,Eknath Easwaran,Paul Bazely,521,2017-05-09,English,4.5,400.00,302
Bhagavath Geethai,Subramania Bharathi,Bombay Kannan,198,2020-12-29,tamil,5.0,76.00,20
Shiv Ke Saat Rahasya [Seven Secrets of Shiva],Devdutt Pattanaik,Atul Arya,258,2018-12-12,Hindi,4.5,278.00,71
Shrimad Bhagwad Gita (Hindi Edition),R.R.Varma,Kumud Soney,1556,2021-10-26,Hindi,4.5,"1,338.00",30
Sita: An Illustrated Retelling of the Ramayana,Devdutt Pattanaik,Suyash Mohan,813,2019-06-25,English,4.5,"1,131.00",94
Teachings of Vivekananda,Vivekananda,Charlton Griffin,544,2018-12-11,English,4.5,"1,032.00",57
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Devdutt Pattanaik,Sarvesh Vyas,379,2020-02-26,Hindi,4.5,284.00,31
My Hanuman Chalisa,Devdutt Pattnaik,Kaushik Ramachandran,279,2018-07-02,English,4.5,242.00,315
Asura,Anand Neelakantan,Denzil Smith,1097,2019-09-03,English,4.5,376.00,334
The Yoga Sutras of Patanjali,Sri Swami Satchidananda,"M.A.Jayashree,Indunil Peiris,Sam Rudra Swartz",570,2019-12-30,English,4.5,668.00,49
Hinduism,Dr.Gregory Kozlowski,Ben Kingsley,179,2006-08-10,English,3.0,468.00,24
The Bhagavad Gita,anonymous,Sagar Arya,167,2019-07-26,English,4.5,281.00,15
Shiv Puran (Hindi Edition),Dr.Vinay,Neeraj Yadav,474,2021-07-19,Hindi,5.0,Free,43
Bhartiya Pauranik Kathaein [Indian Mythology],Devdutt Pattanaik,Nand Kishore Pandey,453,2019-01-18,Hindi,4.0,284.00,31
Shiv Se Shankar Tak (Hindi Edition),Devdutt Pattanaik,Sandeep Bhatt,238,2018-11-01,Hindi,4.5,284.00,21
Kundalini,Om Swami,Jagdish Raja,250,2019-03-25,English,4.5,288.00,335
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,Atul Arya,252,2019-03-13,Hindi,4.5,284.00,24
The Complete Works of Swami Vivekananda,Swami Vivekananda,Clay Lomakayu,1080,2018-09-04,English,5.0,836.00,44
Rigveda,Raj Bahadur Pandey,Swetanshu Bora,470,2021-07-19,Hindi,5.0,Free,9
Garuda Puran,Dr.Vinay,Sarvesh Vyas,368,2021-07-19,Hindi,5.0,Free,26
Yayaati,Vishnu Sakharam Khandekar,Sakshi Malhotra,1162,2018-11-20,Hindi,4.5,284.00,154
Kurma Puran (Hindi Edition),Dr.Vinay,Ashwini Walia,360,2021-07-19,Hindi,5.0,Free,5
The Majesty of Hanuman Neem Karoli Baba,Sripad Jagannatha Dasa,Sripad Jagannatha Dasa,383,2022-02-01,English,5.0,469.00,2
Kalidasa’s Abhijnanashakuntalam,"Kalidasa,Lakshmi Lal-adaptation",Shobhana,67,2020-03-31,English,5.0,75.00,83
Kalki Puran (Hindi Edition),Dr.Vinay,Avdhesh Tondak,370,2021-07-19,Hindi,5.0,Free,3
Devi Bhagwat Puran,Dr.Vinay,Sarvesh Vyas,433,2021-07-19,Hindi,5.0,Free,12
Kya Kahate Hain Puran [What Purana Said],"Mahesh Sharma,P.Bhalla",Atul Arya,565,2021-07-19,Hindi,5.0,Free,3
The Rig Veda,Anonymous,Sagar Arya,2482,2020-04-18,English,2.0,"2,088.00",5
"Emotional Intelligence: 8 Books in 1 - Third Eye Awakening, Reiki Healing, Chakras for Beginners, Kundalini Awakening, Yoga Sutra of Patanjali, Empath, Law of Attraction, Cognitive Behavioral Therapy",Mark Madison,Ronald Hillman,1573,2019-06-17,English,3.5,"1,003.00",7
Roar with Courage,Shubha Vilas,Neel Chaudhuri,410,2020-10-19,English,4.5,668.00,4
The Hindu View of Life,S.Radhakrishnan,Kaushik Ramachandran,220,2018-06-06,English,4.0,219.00,8
On Hinduism,Wendy Doniger,Avita Jay,1848,2017-01-01,English,4.0,"1,120.00",6
99 Thoughts on Ganesha,Devdutt Pattanaik,Ritesh Jha,147,2020-03-13,English,4.5,284.00,15
Adopt Patience,Shubha Vilas,Neel Chaudhuri,591,2020-11-12,English,5.0,668.00,1
